英文名,中文名,美区价格,港区价格,中文,评分,年份
Gang Beasts,基佬大乱斗,20,154,,66,2017
Gears 5 Game of the Year Edition,战争机器5 年度版,60,419,中,85,2019
Gears of War,战争机器,12,83,中,94,2006
Gears of War 2,战争机器 2,12,83,中,93,2008
Gears of War 3,战争机器 3,12,83,中,91,2011
GEARS OF WAR 4,战争机器4,20,159,中,84,2016
Gears of War: Judgment,战争机器: 审判,12,83,中,85,2016
Gears of War: Ultimate Edition,战争机器: 终极版,20,159,中,83,2015
Gears Tactics,战争机器: 战术小队,40,269,中,83,2020
Generation Zero,零世代,30,224,中,49,2019
Genesis Noir,黑色起源,15,114,中,78,2021
Goat Simulator,模拟山羊,10,79,中,60,2014
Going Under,向下走,20,139,中,81,2020
Golf With Your Friends,和朋友一起打高尔夫,20,154,中,69,2020
Gorogoa,画中世界,15,114,中,85,2017
GreedFall,贪婪之秋,35,269,中,74,2019
GRID,超级房车赛,30,234,,76,2018
Grim Fandango Remastered,冥界狂想曲 复刻版,15,119,,82,2015
Grounded – Game Preview,禁闭求生 游戏预览,30,209,中,,2020
Hades,哈迪斯,25,194,中,94,2020
Halo 5: Guardians,光环 5 守护者,20,139,中,84,2015
Halo Infinite,光环 无限,60,419,中,87,2021
Halo Wars 2: Standard Edition,光环战争2 标准版,40,279,中,79,2017
Halo Wars: Definitive Edition,光环战争 决定版,20,119,中,79,2016
Halo: Spartan Assault,光环: 斯巴达突袭,5,39,中,61,2013
Halo: The Master Chief Collection,光环 士官长合集,40,269,中,87,2014
Heavy Weapon,重装武器,10,,,77,2007
Hellblade: Senua's Sacrifice,地狱之刃: 塞娜的献祭,30,234,中,84,2017
HITMAN Trilogy,杀手 三部曲,100,774,中,86,2021
Hollow Knight: Voidheart Edition,空洞骑士 虚空之心版,15,114,中,88,2018
Human Fall Flat,人类一败涂地,20,129,中,68,2016
I Am Fish,我是小鱼儿,20,154,中,66,2021
Immortal Realms: Vampire Wars,不朽国度 血族战争,40,309,中,70,2020
Infernax,地狱之魂,20,154,中,82,2022
Injustice™ 2,不义联盟 2,40,312,中pc,87,2017
Into the Pit,挺进矿坑,15,114,中,69,2021
It Takes Two - Digital Version,双人成行 数字版,40,318.5,中,89,2021
Jetpac Refuelled,推进之力,5,36,中,73,2006
Joy Ride Turbo,逍遥快车 加速版,10,72,,67,2012
Jurassic World Evolution 2,侏罗纪世界 进化 2,60,469,中,78,2021
Jurassic World Evolution,侏罗纪世界 进化,50,389,中,71,2018
Just Cause 4,正当防卫 4,40,289,中,68,2018
Kameo,凯蜜欧,10,88,中,79,2005
Katamari Damacy REROLL,块魂 重演,30,199,,82,2018
Kentucky Route Zero: TV Edition,肯塔基零号公路,25,194,,89,2016
Kill It With Fire,灭蛛大作战,15,114,中,69,2020
Killer Instinct: Definitive Edition,杀手本能 决定版,40,309,中,77,2014
Knockout City™,球胜大本营,20,,中,81,2021
Kraken Academy!!,海怪学院,18,139,中,73,2021
Lake,湖,20,154,中,69,2021
Last Stop,终点站,25,194,中,70,2021
Lawn Mowing Simulator,割草模拟器,20,139,中,71,2021
Lemnis Gate,雷能思之门,20,154,中,79,2021
Lethal League Blaze,致命联盟 烈火,20,154,中,81,2018
Library Of Ruina,废墟图书馆,30,234,中,,2021
Life is Strange: True Colors,奇异人生 本色,60,464,中,81,2021
LIGHTNING RETURNS FFXIII,最终幻想13 雷霆归来,20,158,中,69,2014
LIMBO,地狱边境,10,79,中,90,2010
Little Witch in the Woods,林中小女巫 游戏预览,16,124,中pc,,2022
Lonely Mountains: Downhill,孤山: 速降,20,154,中,81,2019
Loot River,劫掠之河,25,149,中,73,2022
Lost in Random™,任意迷途,30,239,,78,2021
Lost Words: Beyond the Page,失落之语: 页面之外,15,109,,78,2020
LUMINES REMASTERED,音乐方块重制版,15,99,,83,2018
"Madden NFL 21 ",,60,468,,64,2020
Madden NFL 22,,70,549,,67,2021
Maneater,食人鲨,40,309,中,71,2020
Marvel' s Avengers,漫威复仇者联盟,40,339,中,68,2020
Marvel's Guardians of the Galaxy,漫威银河护卫队,60,479,中,82,2021
Mass Effect,质量效应,20,159,,91,2007
Mass Effect 2,质量效应2,20,159,,96,2011
Mass Effect™ 3,质量效应3,20,159,,93,2012
Mass Effect™ Legendary Edition,质量效应 传奇版,60,468,,87,2021
Mass Effect™: Andromeda,质量效应 仙女座 标准版,30,159,,72,2017
Max: The Curse of Brotherhood,麦克斯: 兄弟魔咒,15,99,中,69,2013
MechWarrior 5: Mercenaries,机甲战士5 雇佣兵,30,234,,73,2019
Medal of Honor Airborne,荣誉勋章 空降神兵,20,,,73,2007
Microsoft Flight Simulator,微软模拟飞行,60,419,,92,2020
Middle-earth™: Shadow of War™,《中土世界™: 战争之影™》,50,394,中,82,2017
Mighty Goose,暴走大鹅,20,154,中,73,2021
Mind Scanners,精神检验师,17,134,,77,2021
Minecraft,我的世界,20,154,中,90,2017
Minecraft Dungeons,我的世界 地下城,20,154,中,74,2020
Mirror's Edge™,镜之边缘,15,99,,72,2016
Mirror's Edge™ Catalyst,镜之边缘 催化剂,20,159,中,70,2016
MLB® The Show™ 22,,70,569,,77,2022
Monster Sanctuary,怪物避难所,20,139,中,79,2020
Monster Train,怪物火车,25,194,中,84,2020
Moonglow Bay,月华湾,25,194,中,74,2021
Moonlighter,夜勤人,20,154,中,82,2018
Mortal Kombat 11,真人快打11,60,388,,83,2019
Mortal Shell: Enhanced Edition,致命躯壳,30,234,中,76,2020
MotoGP™20,世界摩托车锦标赛20,30,239,,75,2020
My Friend Pedro,我的朋友佩德罗,20,154,中,80,2019
My Time At Portia,波西亚时光,30,159,中,75,2019
Myst,神秘岛,30,234,中,74,2020
NBA 2K22,,70,548,中,76,2021
NBA LIVE 19,,30,,,73,2018
Need for Speed Rivals,极品飞车 宿敌,20,159,,81,2013
Need for Speed™,极品飞车19,20,159,中,65,2015
Need for Speed™ Heat,极品飞车 热焰,60,468,中,72,2019
Need for Speed™ Hot Pursuit Remastered,极品飞车 热力追踪 重制版,40,318.5,中,74,2020
Need for Speed™ Payback,极品飞车 复仇,20,209,中,60,2017
Neon Abyss,霓虹深渊,20,139,中,76,2020
Neoverse,无尽宇宙,20,149,中,67,2020
New Super Lucky's Tale,新超级幸运狐,30,234,,79,2019
Next Space Rebels,模拟火箭制造,20,154,中,,2021
NHL 20,,60,468,,80,2019
NHL 21,,60,468,,74,2020
NHL 22,,70,549,,71,2021
NHL 94 REWIND,,10,79,,,2021
No Man's Sky,无人深空,60,464,中,70,2016
Nobody Saves the World,小人物拯救世界,25,194,中,80,2022
Nongunz: Doppelganger Edition,黑白墓地 重制版,15,114,中,60,2021
Nuclear Throne,废土之王,12,93,,86,2015
THE ELDER SCROLLS IV: OBLIVION,上古卷轴4: 湮灭,15,99,,94,2006
OCTOPATH TRAVELER,八方旅人,60,429,中,84,2018
Olija,海岛奇缘,15,114,中,79,2021
Omno,奥姆诺,19,149,中,79,2021
ONE PIECE: PIRATE WARRIORS 4,海贼无双 4,60,509,中,75,2020
One Step From Eden,伊甸之路,20,154,中,77,2020
Ori and the Blind Forest,奥日与黑暗森林 决定版,5,39,,90,2015
Ori and the Will of the Wisps,奥日与萤火意志,30,209,中,90,2020
Outer Wilds,星际拓荒,25,194,中,86,2019
OUTRIDERS,先驱者,40,318,中,73,2021
Overcooked! 2,煮糊了 2,25,139,中,82,2018
Paradise Killer,天堂岛杀手,20,154,中,82,2020
PAW Patrol Mighty Pups Save Adventure Bay,狗狗巡逻队 拯救冒险湾的神威狗狗,40,309,,68,2020
PAYDAY 2: CRIMEWAVE EDITION,收获日2 犯罪浪潮版,20,119,,69,2015
Peggle,幻幻球,5,72,中,89,2009
Peggle 2,幻幻球2,12,87,中,76,2013
Perfect Dark,完美女煞星,10,72,,79,2010
Perfect Dark Zero,完美女煞星 零,15,118,中,81,2005
Phoenix Point,凤凰点 贝希摩斯版,60,249,中,72,2019
Pikuniku,野餐大冒险,13,99,中,76,2019
Pillars of Eternity II: Deadfire - Ultimate Edition,永恒之柱 2 死亡之火 终极版,60,464,中,81,2020
Pillars of Eternity: Complete Edition,永恒之柱 完整版,50,234,,89,2015
Plants vs. Zombies,植物大战僵尸,5,109,,89,2010
Plants vs. Zombies Garden Warfare,植物大战僵尸 花园战争,20,159,,78,2014
Plants vs. Zombies: Battle for Neighborville™,植物大战僵尸 和睦小镇保卫战,30,239,中,75,2019
Plants vs. Zombies™ Garden Warfare 2,植物大战僵尸 花园战争2,20,159,中,81,2016
Power Rangers: Battle for the Grid,恐龙战队: 能量之战,20,,,62,2019
Prey,掠食,30,239,中,81,2017
Project Wingman,僚机计划,25,194,中pc,73,2020
Psychonauts,意航员,10,78,,89,2005
Psychonauts 2,意航员 2,60,419,,89,2021
Pupperazzi,狗仔队,20,119,中,71,2022
Quake,雷神之锤,10,77,,87,2021
Quantum Break,量子破碎,40,177,中,78,2016
Race with Ryan,与Ryan一起赛车,30,234,中,55,2019
RAGE,狂怒,15,,,81,2011
RAGE 2,狂怒 2,40,309,中,72,2009
Raji: An Ancient Epic,拉吉 远古史诗篇章,25,194,中,71,2019
Rare Replay,Rare游戏合集,30,209,,86,2015
Recompile,重编译,25,194,中,86,2020
Record of Lodoss War,罗德斯岛战记 蒂德莉特的奇境冒险,25,109,中,78,2021
ReCore,核心重铸,20,149,中,65,2016
RESEARCH and DESTROY,研究与毁灭,20,109,中,74,2022
RESIDENT EVIL 7 biohazard,生化危机 7,20,229,中,86,2017
Ring of Pain,苦痛之环,20,154,中,74,2020
Rocket Arena,火箭竞技场,5,39,中,71,2020
Rubber Bandits,橡胶强盗,20,154,中,82,2021
Rush: A DisneyPixar Adventure,迪士尼皮克斯大冒险,20,154,中,70,2017
Ryse: Legendary Edition,罗马之子: 传奇版,30,351,中,60,2013
Sable,沙贝,25,194,中,75,2021
SCARLET NEXUS,绯红结系,60,479,中,79,2021
ScreamRide,尖叫之旅,30,269,,73,2015
Sea of Solitude,孤独之海,20,159,,70,2019
Sea of Thieves,盗贼之海,40,269,中,67,2018
Second Extinction,二次灭绝,25,194,中,,2020
Secret Neighbor,秘密邻居,20,154,中,,2019
Serious Sam 4,英雄萨姆 4,40,309,中pc,69,2020
Shredders,单板滑雪,30,234,中,68,2022
Signs of the Sojourner,旅居者的迹象,20,154,,75,2020
Skate 3,滑板派对3,20,159,,80,2010
skate.,滑板。,15,,,86,2007
SkateBIRD,滑板小鸟,20,154,中,59,2021
Skul: The Hero Slayer,小骨 英雄杀手,20,129,中,83,2020
Slay The Spire,杀戮尖塔,25,194,中,89,2019
Slime Rancher,史莱姆牧场,20,119,中,76,2017
Sniper Elite 4,狙击精英 4,60,429,,78,2017
Sniper Elite 5,狙击精英 5,60,429,,80,2022
SnowRunner,雪地奔驰,40,309,中,80,2020
Space Warlord Organ Trading Simulator,太空军阀器官交易模拟器,20,154,中,64,2021
Spelunky 2,洞窟探险2,20,154,中,88,2020
Spiritfarer,灵魂旅人,30,129,中,87,2020
SSX,极限滑雪,15,199,,82,2012
